job_title,company,location,description,label
"International Broadcaster, Turkish Language","Applied Memetics LLC is a professional services company dedicated to integrating and delivering best practice communication and information solutions in pre-conflict, conflict, or post-conflict areas.  The world has changed: ‘always on’ brands require a new way of thinking to engage and manage their consumers. Our purpose is to inspire original thinking through a deeper understanding of technology and human behaviour.  From strategy through to implementation, our teams of connected specialists – all experts in their respective fields – work together to help our clients maximise the opportunities created by the changing digital world and create a multi faceted digital strategy through to implementation.Our work explores a new model of journalism that is based around a global story – in this case, the struggle for human rights and democracy around the world. Our goal is to build a better user experience of these stories by adding context to content, using the latest digital tools of the day. Over time, we hope to add greater clarity, deeper understanding, and more sustained engagement to the conversations surrounding global events. As such, our content is transcribed and translated into English for broadcast to a global audience.","US, DC, Washington","The International Broadcaster shall have at least five (5) years of current experience. The International Broadcaster shall perform a combination of services that will include researching, interviewing, writing and voicing original news stories and reports. The International Broadcaster shall have the ability to adapt material for radio, television and/or internet about events in the target region, the U.S. and other countries. The individual shall produce and edit reports using compatible digital technology and shall be able to record and process interviews by phone, live face-to-face or in the field. The individual shall have extensive knowledge of the target region, its people, culture, institutions and political situation, and the ability to adapt English material to the target language and adapt the target language to English. The International Broadcaster shall possess and employ basic multimedia skills as required in the completion of each assignment, including the ability to take still photographs and record video via smartphone during field reporting assignments, and to upload photos and videos as needed to agency-based file servers. He or she shall assess different information to validate the comprehensiveness, accuracy and balance of news products, and shall demonstrate high standards of journalism and news experience. He or she shall have the ability to function as news announcer on live or pre-recorded news bulletins or newscasts; for video assignments the International Broadcaster shall wear attire suitable for the assignment. The International Broadcaster shall be familiar with the Agency’s Best Practices Guide and shall adhere to its policies. The International Broadcaster shall properly complete all daily tasks. These daily tasks include but are not limited to: preparing for assignments (fails not more than once per week); revising video packages (fails not more than twice per week); correcting production errors in stories (fails not more than twice per week); properly creating line-ups and logs (fails not more than once per week).Knowledge of Turkish Language required.  ",0
System Administrator,"The Technical Team and offering at VML London has a very strong heritage dating back to the mid-nineties when the London office was founded. Back in those days we were one of the first few purely digital marketing agencies in London; and back then things were a lot more technically driven than they often are today; as such the Technology team here continues to enjoy a strong strategic influence on the work that the agency undertakes and the clients that we engage.It just works.Technology is brilliant when you don’t have to think about it. That’s what we strive for in our solutions. Our technology team has a strong strategic influence on the work we undertake and are involved as soon as the brief lands. They stay involved throughout strategy, creative concepting and design. Acting as important enablers, we bring new and emerging technology to the table to successfully marry the requirements of our clients with the vision of our creatives.Open standards, open minds.We aim to deliver the most elegant technical solution for your budget, and maintain a technology agnostic approach to development in order to achieve that. Technology can be expensive, both in terms of hard costs and costly mistakes, so we’re as careful with your money as we are with our own.   Perhaps that’s why some of our clients have been with us for over 10 years. When faced with a new problem our first instinct is always to see if someone else has already solved it. As such, the solutions we design are built on the rich eco-system of open source software (OSS); the proven and battle-tested kind that we know will not just do the job quickly and cost-effectively, but also robustly. Where OSS isn't appropriate we always favour solutions that are built to open standards that we know will integrate well with other technologies.Strong partnerships.Our work is complemented by strong partnerships with technology vendors and suppliers.   Proven over time, our established strategic relationships with many of the leaders in software, hardware and other technology solutions help ensure we’re able to continue to offer best-in-class technical solutions for our clients.What we do:High availability and high performance website architecture &amp; developmentWeb content management solutionsCreative technology ideationContent optimisation, search and analyticsHigh volume, multi-locale email campaignsMobile optimisationLocalisation","GB, CMD, London","The role of the SAs is a vital role in the running of the platforms VML manage! We have a number of clients’ sites that require SA skills and maintenance as well as numerous internal machines/sites that need to be looked after.We are looking for a passionate SA to join the team to bring TLC to the platforms, to make them feel warm, loved and cared for and to keep them happy and running! As well as build new platforms and tools, support in-house development platforms and provide advice and knowledge about OS/DBA/hardware where needed. Role summary:What does the role of the SA entail for us…. Well:a)     Building new environment for clients, be it on the cloud platforms (Azure or AWS) or on bare-metalb)     Maintaining current sites (live and development) which are running Ubuntu, RHEL(4,5 and 6), Windows (not in live), with MySQL, Java, Tomcat, Apache webserver, NGnix, etc.. configurationsc)      Returning sites/machines to working state when they have crashes/had an outaged)     Pro-active maintenance and support to minimize outagese)     Building and configuring new support tools/platforms (e.g. JIRA, Confluence, Hudson etc..) as and when required.f)      Supporting and providing ideas and solutions for the Technical team for OS/DB issues (e.g. suggested infrastructures) etc.. Detailed knowledge of the Linux OS (RHEL ideally, with Ubuntu knowledge)DBA skills in MySQL (e.g. backups, restores, configurations), other DBs acceptableWebserver configuration (Apache and NGnix)Knowledge of Java based application systems (Tomcat ideal, JBoss and others acceptable)Knowledge of scripting (shell/php/sed/awk/etc..)Willingness to support out of hours and be on call if requiredAWS/Azure/Bare-metal builds.Hudson/Jenkins/Automated build and deploy tools (installation and maintenance)Source Control (SVN/GIT) installation and maintenanceGood written and verbal skills Useful extra knowledge and skills:Experience with CMS systems (CQ)Programming knowledge (Java ideal)Virtualization (e.g. HyperV)Windows server support and IIS knowledgePostgres DBA skillsKnowledge of Vagrant, Maven, PuppetLDAPSambaKey responsibilities:Maintaining and supporting live sites/machinesMaintaining and supporting development sites/machinesDeployments of code to multiple environments.Pro-active maintenanceTrouble-shooting and diagnosing issuesBuilding new environments.Taking the lead – proposing solutions, not expecting them to be given to you!Writing (where applicable) P1/2 reports. Challenges of the roleCoping with multiple, sometimes overlapping work streams – including P1 outagesBleeding edge technology changes Communicating with major stakeholders (TD, MD, CFO, Ops Dir etc..)Proposing technical OS/DB solutions for platforms and sites as required.Making sure the live sites *never* go down!!!  ",0
Accounting Manger ,"We’re Digital Telepathy, but our friends call us DT. Committed to being designers of the Web, we help startups solve their toughest user experience design challenges. We practice objective-based design and agile development, so things move fast. From marketing websites to web app design, we create experiences that engage users and deliver results. ","US, CA, San Diego","We are a passionate group of 35 people that love spending time together. We just happen to run a user experience design company during the day. We are geeks, surfers, operation gurus, movie buffs, but deep down, we are all designers at heart.We’ve grown a lot in the last few years and need a new team member who is dedicated to making sure our day-to-day accounting functions are completed efficiently, reliably, and properly.Let’s be honest, this is not your typical accounting position - we’re looking for a Jack or Jill of all trades that can own a wide variety of functions. This is initially a part time, 20-30 hours a week position (likely to grow to full time), located in our gorgeous loft office in downtown San Diego (some remote time is OK). HERE’S HOW WE DESCRIBE OUR IDEAL HIRE:You love numbers, spreadsheets, formulas, and QuickBooks! You’re comfortable making decisions using discretion and good judgment. You love doing a little bit of everything. You’re the type of person who is both efficient and effective, taking on projects from end-to-end with little guidance. You’re extremely organized, with a keen attention to detail while understanding the big picture. Your work ethic is unmatched, you’ve got a great personality, and integrity trumps all.Sound interesting? Try this on for size; here are some of the things you would do over the course of two weeks:Receive, audit, and pay 15 bills in QuickBooksHand deliver a rent check to our landlord with a bottle of champagne as a thank you for the recent building upgradesProcess 3 expense reports from employeesResearch duplicate credit card transactions with American ExpressPrepare monthly client invoices after coordinating with Account StrategistsTransfer and apply wire payments from clients, then go to the bank to deposit some checksFollow up with a client about a past due invoice, on Google Hangout - emails lack soul and effectivenessUpdate the forecast based on our new Q3 goals, then communicate P&amp;L changes to the Exec teamComplete month end close and analyze variances to the budgetImprove our Activity Based Costing model to include a new product we’re developingHelp an employee figure out if he will have enough vacation time to go to Hawaii for the entire month of DecemberRun time reports, calculate OT, and identify 10 hours of work that was not yet billed to clientsProcess payroll and deposit 401(k)Help our sales manager understand our capacity and ability to add a new client in AugSTILL WITH US?Experience matters. We’re looking for someone with at least 4 years of finance, accounting, and payroll experience. This is currently a 20-30 hour a week position. You must live in San Diego and have flexibility to be onsite a few days a week, some remote work is OK. ",0
DATA ENTRY/RECEPTIONIST,,"US, NY, NEW YORK","Our company  is seeking applications for a (temporary) full time motivated Data Entry/Receptionist. On a daily basis, the receptionist will be responsible for answering phones, and assisting visitors. Other responsibilities may be assigned as well. To qualify for this position, applicants must have excellent telephone etiquette, experience working with Microsoft Office programs, and multitasking skills.  ",1
"Weekly CASH Jobs, Hiring Part Time Workers.",,"US, CA, Los Angeles","Weekly CASH Jobs, Hiring Part Time Workers.You can do it all from home, in your free time, at your own place.Spend 30 minutes or 1 hours a day &amp; Get biggest cash.You can work in the morning, afternoon, or at night.Perfect for everyone then start immediately.Can earn $400 to $450 extra per day.No any experience required.Zero start-up fee, Visit here:-#URL_7ebe37f71633be1b80547d6f213cb0075a63b6ced35281bfa5c067b5c685f04c#-rg.info You can work in the morning, afternoon, or at night. Zero start-up fee",1
Network Marketing,,"US, CA, ","Are you looking to make anywhere from 600-115,000$ a month? Are you looking to be paid to take vacations? Are you tired of working a 9-5 with no ability to grow in your field. Do you want to be your own boss and set your own schedule of when you work? If you answer yes to any of these than we have the perfect opportunity for you. Our company is based on 3 principles 1.Saving Money 2.Making Money 3.Managing Money. We offer financial soulutions to help you live financially free while making money showing others. We have over 5,800 national brand retailers where we recieve discounts. An ambition to succeed, A desire to be the best at our field and not be discourage when people turn you down. If you have these qualities than you are perfect for this business Residual Income, Travel dollars, Car Dollars, the ability to rise in pay grade rapidly as long as you put in the work you will see results",1
Social Media/Video Editor,"Applied Memetics LLC is a professional services company dedicated to integrating and delivering best practice communication and information solutions in pre-conflict, conflict, or post-conflict areas.  The world has changed: ‘always on’ brands require a new way of thinking to engage and manage their consumers. Our purpose is to inspire original thinking through a deeper understanding of technology and human behaviour.  From strategy through to implementation, our teams of connected specialists – all experts in their respective fields – work together to help our clients maximise the opportunities created by the changing digital world and create a multi faceted digital strategy through to implementation.Our work explores a new model of journalism that is based around a global story – in this case, the struggle for human rights and democracy around the world. Our goal is to build a better user experience of these stories by adding context to content, using the latest digital tools of the day. Over time, we hope to add greater clarity, deeper understanding, and more sustained engagement to the conversations surrounding global events. As such, our content is transcribed and translated into English for broadcast to a global audience.","US, DC, Washington","Applied Memetics LLC (AM LLC) is seeking a Social Media/Video Editor to work at a US International Media organization.  This mission critical office plays a key role in the development and implementation of innovative media and information communication technology (ICT) projects, programs, and services across U.S. international media. It focuses on expanding the use of the best core technology platforms, as well as assisting entities in executing global digital and brand strategies.  It also builds out the next generation of digital products to present multi-media content in an increasingly complex global media landscape.The ideal candidate will:- Be responsible for developing video content for mobile, desktop and distribution platforms - Create videos for mobile and desktop platforms; as well as for broadcast programs - Develop and execute social media programs that are aligned with the division's objectives - Develop, manage and monitor social media programs' including identifying and pursuing external social media opportunities - Monitor blogs and social media sites to quickly identify important trends, technologies, stories and coverage for use by the Africa Digital team and language services - Social media campaign outreach through key bloggers/writers, fielding and handling social media requests- Coordinate social media training- Experience with Content Management Systems and web publishing- Experience with mobile content programming, publishing and production best practices- Excellent written and verbal communication skills- Meticulous attention to detail; strong organizational skills- Ability to get things done through formal channels and an informal network- Interpersonal skills and ability to interact and work with staff at all levels- Strong analytical, prioritization, problem-solving and negotiating skills- Ability to work independently and in a team environment- Commitment to ""internal client"" and customer service principles- Ability to handle multiple tasks in a fast-paced environment- Willingness to take initiative and to follow through on projects The potential candidate will have:- Proven experience with Final Cut or Adobe Premiere editing software; and digital video production best practices- Experience with shooting and editing videos on a deadline basis; Experience in a news environment preferred- Familiarity with content management systems- Thorough knowledge of social networking tools, e.g. Twitter, Facebook, YouTube, WhatsApp- Familiarity with web traffic analysis (e.g. Omniture)- Familiarity with SEO best practices a plus- Working knowledge of Hausa, Swahili, French, or Portuguese a plus ",0
Data Entry,,"US, NY, ACRA","Data EntryThe purpose of this position is to complete study related case report forms, either paper or electronic and to ensure that all international regulatory standards and sponsor requirements are met providing the highest quality clinical trial services possible.DUTIES AND RESPONSIBILITIESCompare data with source documents to detect errors.Compile, sort and verify the accuracy of data before it is entered.Locate and correct data entry errors per Prism Research’s SOPs,Maintain study related logs.Read study protocols and source documents and enter data in specific data fields to complete study case report forms.Resolve garbled or indecipherable source data with appropriate staff.Select materials needed to complete work assignments.Store completed documents in appropriate locations.Establish and maintain strong external relationships with research partners and sponsor on an ongoing basis. Other duties as assigned.EDUCATION, TRAINING AND COMPETENCIESEDUCATIONAL REQUIREMENTS: High School Diploma.TRAINING/EXPERIENCE CLINICAL REQUIREMENTS: Minimum of two years clinical research experience preferred.TRANSFERABLE COMPETENCY REQUIREMENTS:§ Organization,§ Typing§ Data Entry Skills,§ Attention to Detail§ Confidentiality§ Thoroughness,§ Decision Making§ Independence,§ Analyzing Information§ Results Driven§ Verbal communications skills§ Problem-solving skills§ Planning/organizational skills§ Personal motivation§ Customer service skillsSPECIFIC TECHNICAL COMPETENCY REQUIREMENTS§ Understanding of ICH/GCP guidelines for human research§ Understanding of Code of Federal Regulations for Human Subjects§ Microsoft Word and Excel competency§ Understanding of Phase I-IV drug development processPHYSICAL REQUIREMENTS AND/OR ENVIRONMENTAL FACTORS§ Extensive computer (Laptop) use. Medical, Dental &amp; Vision Insurance, Life and Long-Term Disability Insurance, Vacation, Paid Time Off, Tax-Deferred Annuity 403 (b) 401 ( k ) , Tuition Assistance, Comprehensive In-House Training Program, Employee Assistance Program, Relocation Allowance (for some positions), Sign-On Bonus (for some positions)",1
Payroll Data Coordinator Positions - Earn $100-$200 Daily ,,"US, PA, Abbottstown ","We are a full-service marketing and staffing firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates.Are you looking for a Work from Home Opportunity where you can earn up to $2500 and more per week? Our Online Service Representative position would be perfect for you!- Set your own hours - Make money every time you decide to work - Work remotely from home - Get paid weekly - If you have a computer with internet, this is for you RequirementsAll you need is access to the Internet and you can participate. Computer with Internet access, valid email address, good typing skills    This is an entry level position and we offer full online training. You do NOT need any special skills to get started.Earn as much as you can doing data entry.  Complete Training provided before you start working and it’s easy to start!  ________________________________________Don’t let this opportunity pass you by.POSITIONS ARE STILL AVAILABLE - GET STARTED RIGHT NOWIf you fit the above description and meet the requirements, please apply stating your locationApply at: #EMAIL_c9b5d8a60f3d80be13dd02ffe5d212c047b92ba679c296dfae7c102952fbb534#",1
Web Designer / Front End Developer,"""Only stupid questions create wealth""  - Gary HamelA successful business needs stupid questions and great design.We do both.We, are the Fooolish Designers.","GR, I, Athens","We are looking for a skilled web designer / front end developer to join our team! Young and creative (under 25 years old)Passionate about great designGreat eye for detailOrganizedProfessional, responsible, reliable and able to handle deadlinesCollaborative and works well in a team  Have unpacked and owned at least one Apple productLast but not least, be a little “crazy”, we are foolish designers after all!Nice to have:Some animation experience Communicational skillsWorking on Apple computer and devices Web and UI/UX designBe able to develop custom responsive websites with animated elements Great with Photoshop and IllustratorHTML5 / CSS3 (jQuery is a plus)! Fluent in English  This is a full-time, in house position.Full details will be provided at time of interview.",0
